a;n;time_ns;comparisons;depth
MergeSort;1000;1385300;9416;0
QuickSort;1000;2254000;7500;0
DeterministicSelect;1000;3811200;1073;0
ClosestPair;1000;13063900;0;0
MergeSort;5000;3092900;55093;0
QuickSort;5000;1272500;49789;0
DeterministicSelect;5000;964700;5292;0
ClosestPair;5000;20061900;0;0
MergeSort;10000;3684000;119777;0
QuickSort;10000;2999900;112978;0
DeterministicSelect;10000;1793200;10099;0
ClosestPair;10000;23301600;0;0
MergeSort;20000;5033100;260266;0
QuickSort;20000;5333000;240384;0
DeterministicSelect;20000;7783800;20423;0
ClosestPair;20000;86950700;0;0
MergeSort;50000;11237200;732314;0
QuickSort;50000;15640100;605105;0
DeterministicSelect;50000;8685500;51093;0
ClosestPair;50000;497888600;0;0
